animal_id,ear_tag,species,breed,age_months,sex,owner_id,owner_name,village,block,district_id,district_name,state,vaccination_history,registered_at
AN-468B6F16,MH-PUN-C512C5,goat,Konkan Kanyal,3,female,OWN-PUN-5275,Owner_201,havepeth49,Haveli,PUNE,Pune,Maharashtra,"[{""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-11-11"", ""batch"": ""BATCH-7969"", ""administered_by"": ""VET-PUN-250""}]",2024-06-24
AN-9E9DCF60,MH-PUN-0CA011,buffalo,Marathwadi,100,male,OWN-PUN-3108,Owner_478,mulspur53,Mulshi,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-11-13"", ""batch"": ""BATCH-2062"", ""administered_by"": ""VET-PUN-224""}, {""vaccine"": ""Lumpi-ProVac (GoatPox based)"", ""disease"": ""lsd"", ""date"": ""2024-09-28"", ""batch"": ""BATCH-1327"", ""administered_by"": ""VET-PUN-857""}]",2024-05-26
AN-62880F8F,MH-PUN-C74332,buffalo,Marathwadi,111,female,OWN-PUN-1057,Owner_418,havegaon76,Haveli,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-11-15"", ""batch"": ""BATCH-1802"", ""administered_by"": ""VET-PUN-150""}, {""vaccine"": ""Lumpi-ProVac (GoatPox based)"", ""disease"": ""lsd"", ""date"": ""2024-03-16"", ""batch"": ""BATCH-7655"", ""administered_by"": ""VET-PUN-782""}]",2024-01-12
AN-7D3EDD86,MH-PUN-E06503,poultry,Kadaknath,3,male,OWN-PUN-5547,Owner_344,indapeth64,Indapur,PUNE,Pune,Maharashtra,"[{""vaccine"": ""AI H5N1 Inactivated (poultry)"", ""disease"": ""ai_h5n1"", ""date"": ""2024-03-23"", ""batch"": ""BATCH-7319"", ""administered_by"": ""VET-PUN-618""}]",2024-02-04
AN-14F55C9F,MH-PUN-4E10D2,cattle,Gir Cross,42,female,OWN-PUN-8110,Owner_15,ambenagar83,Ambegaon,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-08-07"", ""batch"": ""BATCH-6209"", ""administered_by"": ""VET-PUN-708""}, {""vaccine"": ""Lumpi-ProVac (GoatPox based)"", ""disease"": ""lsd"", ""date"": ""2024-12-26"", ""batch"": ""BATCH-2836"", ""administered_by"": ""VET-PUN-707""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-03-02"", ""batch"": ""BATCH-6801"", ""administered_by"": ""VET-PUN-986""}]",2024-01-07
AN-7DE2064C,MH-PUN-688BE2,goat,Konkan Kanyal,48,female,OWN-PUN-1735,Owner_25,velhpeth37,Velhe,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-02-14"", ""batch"": ""BATCH-8650"", ""administered_by"": ""VET-PUN-864""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-09-14"", ""batch"": ""BATCH-8747"", ""administered_by"": ""VET-PUN-293""}]",2024-03-18
AN-B0FF3B28,MH-PUN-65669B,cattle,Gir Cross,36,female,OWN-PUN-9349,Owner_231,bhorgaon63,Bhor,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-05-16"", ""batch"": ""BATCH-8391"", ""administered_by"": ""VET-PUN-721""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-10-20"", ""batch"": ""BATCH-6457"", ""administered_by"": ""VET-PUN-770""}]",2024-05-10
AN-1E8AD0D0,MH-PUN-719256,buffalo,Surti,99,female,OWN-PUN-3034,Owner_91,velhtarf50,Velhe,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-01-27"", ""batch"": ""BATCH-2314"", ""administered_by"": ""VET-PUN-726""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-05-14"", ""batch"": ""BATCH-3016"", ""administered_by"": ""VET-PUN-252""}]",2024-04-26
AN-72505226,MH-PUN-E9A5E2,sheep,Deccani,29,female,OWN-PUN-7054,Owner_123,mulsnagar75,Mulshi,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-04-21"", ""batch"": ""BATCH-2250"", ""administered_by"": ""VET-PUN-351""}, {""vaccine"": ""PPR Sungri/96 Live Attenuated"", ""disease"": ""ppr"", ""date"": ""2024-08-18"", ""batch"": ""BATCH-4551"", ""administered_by"": ""VET-PUN-140""}]",2024-03-21
AN-9E170674,MH-PUN-7F2CB1,sheep,Madgyal,45,female,OWN-PUN-6431,Owner_92,indatarf30,Indapur,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-03-02"", ""batch"": ""BATCH-3224"", ""administered_by"": ""VET-PUN-712""}, {""vaccine"": ""PPR Sungri/96 Live Attenuated"", ""disease"": ""ppr"", ""date"": ""2024-09-16"", ""batch"": ""BATCH-5154"", ""administered_by"": ""VET-PUN-591""}]",2024-05-04
AN-787B696F,MH-PUN-58EAFA,cattle,Dangi,40,female,OWN-PUN-7035,Owner_63,bhornagar76,Bhor,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-10-06"", ""batch"": ""BATCH-3089"", ""administered_by"": ""VET-PUN-240""}, {""vaccine"": ""Lumpi-ProVac (GoatPox based)"", ""disease"": ""lsd"", ""date"": ""2024-02-15"", ""batch"": ""BATCH-8538"", ""administered_by"": ""VET-PUN-622""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-01-26"", ""batch"": ""BATCH-5002"", ""administered_by"": ""VET-PUN-681""}]",2024-06-09
AN-0976676F,MH-PUN-17AA32,sheep,Lonand,91,female,OWN-PUN-9109,Owner_372,havetarf42,Haveli,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-10-03"", ""batch"": ""BATCH-8515"", ""administered_by"": ""VET-PUN-407""}]",2024-02-22
AN-0BBBB059,MH-PUN-911356,goat,Sangamneri,34,female,OWN-PUN-9239,Owner_474,junntarf27,Junnar,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-02-23"", ""batch"": ""BATCH-6413"", ""administered_by"": ""VET-PUN-606""}, {""vaccine"": ""PPR Sungri/96 Live Attenuated"", ""disease"": ""ppr"", ""date"": ""2024-10-05"", ""batch"": ""BATCH-8527"", ""administered_by"": ""VET-PUN-261""}]",2024-03-17
AN-C13CE5D9,MH-PUN-B9411B,cattle,HF Cross,60,female,OWN-PUN-6772,Owner_214,velhnagar76,Velhe,PUNE,Pune,Maharashtra,"[{""vaccine"": ""Lumpi-ProVac (GoatPox based)"", ""disease"": ""lsd"", ""date"": ""2024-04-07"", ""batch"": ""BATCH-2645"", ""administered_by"": ""VET-PUN-516""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-08-01"", ""batch"": ""BATCH-9533"", ""administered_by"": ""VET-PUN-649""}]",2024-03-11
AN-B00B7BA2,MH-PUN-4F3C9D,cattle,Red Kandhari,37,female,OWN-PUN-2739,Owner_31,junnkhurd75,Junnar,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-02-01"", ""batch"": ""BATCH-5912"", ""administered_by"": ""VET-PUN-249""}, {""vaccine"": ""Lumpi-ProVac (GoatPox based)"", ""disease"": ""lsd"", ""date"": ""2024-12-19"", ""batch"": ""BATCH-8765"", ""administered_by"": ""VET-PUN-366""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-06-09"", ""batch"": ""BATCH-3461"", ""administered_by"": ""VET-PUN-217""}]",2024-01-04
AN-944D5F61,MH-PUN-1FCE39,poultry,Desi,21,female,OWN-PUN-5020,Owner_190,baragaon28,Baramati,PUNE,Pune,Maharashtra,"[{""vaccine"": ""AI H5N1 Inactivated (poultry)"", ""disease"": ""ai_h5n1"", ""date"": ""2024-06-07"", ""batch"": ""BATCH-9661"", ""administered_by"": ""VET-PUN-414""}]",2024-05-21
AN-5E36FEEA,MH-PUN-321E28,cattle,Deoni,7,female,OWN-PUN-4090,Owner_154,mulstarf92,Mulshi,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-07-02"", ""batch"": ""BATCH-2515"", ""administered_by"": ""VET-PUN-991""}, {""vaccine"": ""Lumpi-ProVac (GoatPox based)"", ""disease"": ""lsd"", ""date"": ""2024-07-10"", ""batch"": ""BATCH-3643"", ""administered_by"": ""VET-PUN-493""}]",2024-03-11
AN-5C266CE8,MH-PUN-BA5C01,goat,Konkan Kanyal,109,male,OWN-PUN-4776,Owner_175,bhorwadi23,Bhor,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-07-20"", ""batch"": ""BATCH-3779"", ""administered_by"": ""VET-PUN-247""}, {""vaccine"": ""PPR Sungri/96 Live Attenuated"", ""disease"": ""ppr"", ""date"": ""2024-10-10"", ""batch"": ""BATCH-1064"", ""administered_by"": ""VET-PUN-601""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-02-25"", ""batch"": ""BATCH-8287"", ""administered_by"": ""VET-PUN-352""}]",2024-06-10
AN-F6B6A99C,MH-PUN-92BB7B,buffalo,Nagpuri,109,female,OWN-PUN-5246,Owner_242,baranagar8,Baramati,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-12-22"", ""batch"": ""BATCH-1829"", ""administered_by"": ""VET-PUN-527""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-10-17"", ""batch"": ""BATCH-2261"", ""administered_by"": ""VET-PUN-152""}]",2024-04-19
AN-CD2FD65D,MH-PUN-2FF483,goat,Osmanabadi,12,female,OWN-PUN-5255,Owner_324,barakhurd44,Baramati,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-02-24"", ""batch"": ""BATCH-3905"", ""administered_by"": ""VET-PUN-100""}, {""vaccine"": ""PPR Sungri/96 Live Attenuated"", ""disease"": ""ppr"", ""date"": ""2024-03-10"", ""batch"": ""BATCH-2748"", ""administered_by"": ""VET-PUN-599""}]",2024-01-13
AN-F2FF9111,MH-PUN-A6DA27,poultry,Desi,17,male,OWN-PUN-6501,Owner_139,ambenagar33,Ambegaon,PUNE,Pune,Maharashtra,[],2024-02-22
AN-8012D768,MH-PUN-608B78,buffalo,Marathwadi,20,male,OWN-PUN-9485,Owner_175,baratarf94,Baramati,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-10-26"", ""batch"": ""BATCH-2103"", ""administered_by"": ""VET-PUN-436""}, {""vaccine"": ""Lumpi-ProVac (GoatPox based)"", ""disease"": ""lsd"", ""date"": ""2024-12-25"", ""batch"": ""BATCH-6234"", ""administered_by"": ""VET-PUN-665""}]",2024-06-20
AN-DAC3C851,MH-PUN-02A407,cattle,HF Cross,75,female,OWN-PUN-1975,Owner_361,ambepeth71,Ambegaon,PUNE,Pune,Maharashtra,"[{""vaccine"": ""Lumpi-ProVac (GoatPox based)"", ""disease"": ""lsd"", ""date"": ""2024-05-19"", ""batch"": ""BATCH-3920"", ""administered_by"": ""VET-PUN-274""}]",2024-05-28
AN-4C6A6325,MH-PUN-16E383,cattle,HF Cross,67,female,OWN-PUN-2849,Owner_149,mulsbudruk21,Mulshi,PUNE,Pune,Maharashtra,[],2024-05-12
AN-53F434AD,MH-PUN-E88C8D,sheep,Madgyal,44,female,OWN-PUN-3520,Owner_3,mulsbudruk22,Mulshi,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-03-27"", ""batch"": ""BATCH-1500"", ""administered_by"": ""VET-PUN-210""}, {""vaccine"": ""PPR Sungri/96 Live Attenuated"", ""disease"": ""ppr"", ""date"": ""2024-01-05"", ""batch"": ""BATCH-1846"", ""administered_by"": ""VET-PUN-734""}]",2024-05-21
AN-BD157D9F,MH-PUN-F9223B,goat,Berari,82,female,OWN-PUN-5870,Owner_279,baranagar52,Baramati,PUNE,Pune,Maharashtra,"[{""vaccine"": ""PPR Sungri/96 Live Attenuated"", ""disease"": ""ppr"", ""date"": ""2024-08-06"", ""batch"": ""BATCH-3041"", ""administered_by"": ""VET-PUN-353""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-08-22"", ""batch"": ""BATCH-6356"", ""administered_by"": ""VET-PUN-721""}]",2024-01-14
AN-B87AE6EE,MH-PUN-BE8D69,goat,Berari,95,female,OWN-PUN-2862,Owner_287,mulstarf25,Mulshi,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-02-04"", ""batch"": ""BATCH-4124"", ""administered_by"": ""VET-PUN-163""}, {""vaccine"": ""PPR Sungri/96 Live Attenuated"", ""disease"": ""ppr"", ""date"": ""2024-03-07"", ""batch"": ""BATCH-2676"", ""administered_by"": ""VET-PUN-467""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-09-25"", ""batch"": ""BATCH-3798"", ""administered_by"": ""VET-PUN-341""}]",2024-03-06
AN-895A93D3,MH-PUN-1543B6,poultry,Cobb400,13,female,OWN-PUN-3853,Owner_483,havepur19,Haveli,PUNE,Pune,Maharashtra,"[{""vaccine"": ""AI H5N1 Inactivated (poultry)"", ""disease"": ""ai_h5n1"", ""date"": ""2024-02-21"", ""batch"": ""BATCH-4976"", ""administered_by"": ""VET-PUN-899""}]",2024-02-01
AN-FCD84384,MH-PUN-E161D3,buffalo,Nagpuri,71,female,OWN-PUN-7945,Owner_226,velhbudruk21,Velhe,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-08-16"", ""batch"": ""BATCH-7305"", ""administered_by"": ""VET-PUN-130""}]",2024-06-07
AN-D307528E,MH-PUN-F6BFB8,poultry,Vanaraja,16,female,OWN-PUN-5954,Owner_27,indanagar91,Indapur,PUNE,Pune,Maharashtra,"[{""vaccine"": ""AI H5N1 Inactivated (poultry)"", ""disease"": ""ai_h5n1"", ""date"": ""2024-12-28"", ""batch"": ""BATCH-9179"", ""administered_by"": ""VET-PUN-598""}]",2024-02-03
AN-01149A3E,MH-PUN-C1F1BA,cattle,Red Kandhari,5,male,OWN-PUN-4950,Owner_427,ambepur38,Ambegaon,PUNE,Pune,Maharashtra,"[{""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-02-01"", ""batch"": ""BATCH-9078"", ""administered_by"": ""VET-PUN-248""}]",2024-03-26
AN-B26CE916,MH-PUN-5B1DA2,sheep,Madgyal,47,female,OWN-PUN-5740,Owner_454,ambebudruk24,Ambegaon,PUNE,Pune,Maharashtra,"[{""vaccine"": ""PPR Sungri/96 Live Attenuated"", ""disease"": ""ppr"", ""date"": ""2024-11-18"", ""batch"": ""BATCH-4397"", ""administered_by"": ""VET-PUN-707""}]",2024-02-16
AN-93B2BE52,MH-PUN-521F3C,sheep,Madgyal,106,male,OWN-PUN-3773,Owner_408,ambepur29,Ambegaon,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-10-07"", ""batch"": ""BATCH-7247"", ""administered_by"": ""VET-PUN-763""}]",2024-06-21
AN-F6FC5E05,MH-PUN-460A1B,buffalo,Marathwadi,38,male,OWN-PUN-3959,Owner_334,barawadi62,Baramati,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-06-15"", ""batch"": ""BATCH-4784"", ""administered_by"": ""VET-PUN-180""}, {""vaccine"": ""Lumpi-ProVac (GoatPox based)"", ""disease"": ""lsd"", ""date"": ""2024-10-12"", ""batch"": ""BATCH-4854"", ""administered_by"": ""VET-PUN-172""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-12-14"", ""batch"": ""BATCH-4065"", ""administered_by"": ""VET-PUN-790""}]",2024-01-21
AN-3EA25417,MH-PUN-6CACD3,buffalo,Nagpuri,95,female,OWN-PUN-1934,Owner_178,velhbudruk91,Velhe,PUNE,Pune,Maharashtra,"[{""vaccine"": ""Lumpi-ProVac (GoatPox based)"", ""disease"": ""lsd"", ""date"": ""2024-11-01"", ""batch"": ""BATCH-9120"", ""administered_by"": ""VET-PUN-590""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-12-18"", ""batch"": ""BATCH-5874"", ""administered_by"": ""VET-PUN-679""}]",2024-03-22
AN-C8B77F74,MH-PUN-4E2624,poultry,Vanaraja,13,female,OWN-PUN-9266,Owner_214,barakhurd45,Baramati,PUNE,Pune,Maharashtra,"[{""vaccine"": ""AI H5N1 Inactivated (poultry)"", ""disease"": ""ai_h5n1"", ""date"": ""2024-07-05"", ""batch"": ""BATCH-2158"", ""administered_by"": ""VET-PUN-343""}]",2024-05-01
AN-2A3FCC72,MH-PUN-971152,goat,Sirohi Cross,73,female,OWN-PUN-5578,Owner_379,ambegaon79,Ambegaon,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-12-06"", ""batch"": ""BATCH-3668"", ""administered_by"": ""VET-PUN-479""}, {""vaccine"": ""PPR Sungri/96 Live Attenuated"", ""disease"": ""ppr"", ""date"": ""2024-06-04"", ""batch"": ""BATCH-4213"", ""administered_by"": ""VET-PUN-936""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-04-23"", ""batch"": ""BATCH-1566"", ""administered_by"": ""VET-PUN-860""}]",2024-03-20
AN-F17648A8,MH-PUN-75C418,cattle,Khillari,29,female,OWN-PUN-6806,Owner_57,junngaon75,Junnar,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-12-04"", ""batch"": ""BATCH-1424"", ""administered_by"": ""VET-PUN-710""}, {""vaccine"": ""Lumpi-ProVac (GoatPox based)"", ""disease"": ""lsd"", ""date"": ""2024-05-11"", ""batch"": ""BATCH-2757"", ""administered_by"": ""VET-PUN-788""}]",2024-04-08
AN-7AF85A44,MH-PUN-152CD5,sheep,Lonand,35,male,OWN-PUN-2063,Owner_252,havetarf94,Haveli,PUNE,Pune,Maharashtra,"[{""vaccine"": ""PPR Sungri/96 Live Attenuated"", ""disease"": ""ppr"", ""date"": ""2024-03-05"", ""batch"": ""BATCH-4887"", ""administered_by"": ""VET-PUN-367""}]",2024-02-14
AN-16066F34,MH-PUN-74DDDF,sheep,Kolhapuri,30,female,OWN-PUN-9929,Owner_58,havekhurd87,Haveli,PUNE,Pune,Maharashtra,[],2024-01-26
AN-E4FA2896,MH-PUN-5772C6,poultry,Vanaraja,24,female,OWN-PUN-6245,Owner_450,velhtarf40,Velhe,PUNE,Pune,Maharashtra,[],2024-01-03
AN-8E5E7539,MH-PUN-2DE17F,buffalo,Marathwadi,117,female,OWN-PUN-4562,Owner_37,ambenagar32,Ambegaon,PUNE,Pune,Maharashtra,"[{""vaccine"": ""Lumpi-ProVac (GoatPox based)"", ""disease"": ""lsd"", ""date"": ""2024-04-08"", ""batch"": ""BATCH-2722"", ""administered_by"": ""VET-PUN-116""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-09-13"", ""batch"": ""BATCH-3653"", ""administered_by"": ""VET-PUN-346""}]",2024-01-27
AN-C92628ED,MH-PUN-5C478F,sheep,Lonand,107,female,OWN-PUN-9725,Owner_49,junnwadi4,Junnar,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-01-08"", ""batch"": ""BATCH-7840"", ""administered_by"": ""VET-PUN-404""}, {""vaccine"": ""PPR Sungri/96 Live Attenuated"", ""disease"": ""ppr"", ""date"": ""2024-06-23"", ""batch"": ""BATCH-2518"", ""administered_by"": ""VET-PUN-793""}]",2024-01-02
AN-C94A9E04,MH-PUN-1607A3,buffalo,Murrah,6,female,OWN-PUN-9912,Owner_45,bhorbudruk10,Bhor,PUNE,Pune,Maharashtra,"[{""vaccine"": ""FMD Trivalent (O, A, Asia1)"", ""disease"": ""fmd"", ""date"": ""2024-03-17"", ""batch"": ""BATCH-5289"", ""administered_by"": ""VET-PUN-532""}, {""vaccine"": ""Brucella S19 / Rev-1"", ""disease"": ""brucellosis"", ""date"": ""2024-08-18"", ""batch"": ""BATCH-8300"", ""administered_by"": ""VET-PUN-756""}]",2024-06-07
AN-D8610C24,MH-PUN-856948,buffalo,Murrah,88,female,OWN-PUN-3103,Owner_493,junnpeth2,Junnar,PUNE,Pune,Maharashtra,[],2024-04-09
AN-C727879D,MH-PUN-56F68E,buffalo,Pandharpuri,8,male,OWN-PUN-7739,Owner_185,junnbudruk17,Junnar,PUNE,Pune,Maharashtra,[],2024-04-01
